Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url,Product Metadata
,emerald-bonsai-zen,Emerald Bonsai,Handmade Masterpiece / Zen Bonsai,"Discover a truly exceptional handmade artificial bonsai tree, designed to bring timeless elegance and natural harmony into any interior. Each tree is individually handcrafted, making every piece a unique one-of-one creation. With a real wood trunk, high-quality artificial leaves for a beautifully natural appearance, and a golden brushed stainless steel 304 flower pot, this bonsai combines authentic materials with lasting sophistication.

The result is a refined designer piece that feels both organic and luxurious — ideal for hotels, villas, living rooms, reception areas, lounges, and exclusive interior spaces.",published,,,125,125,220,,,,,,,,,,FALSE,,,Gold,,,FALSE,TRUE,,,,,,,,,4350,,Pot Color,Gold,,,"{""pot"": ""{\""width\"": 47, \""depth\"": 47, \""height\"": 82.5, \""unit\"": \""cm\"", \""material\"": \""Stainless steel 304\"", \""finish\"": \""Brushed Gold\"", \""care\"": \""To keep the pot shiny, place only indoors. Not recommended for wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every bonsai tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Brushed stainless steel 304 flower pot.\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium bonsai tree is in a size range of 200 cm to 240 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens. Perfect for sensitive places and especially well suited for hotels, hospitality spaces and designer homes or offices who want a beautiful green atmosphere all year long without the responsibilities of a living plant. The tree is designed for indoor use. While it is generally resistant to sun and moisture, permanent outdoor exposure is not recommended, as long-term hot and cold conditions may affect the materials over time.""}"
,verdant-harmony-ficus-bonsai,Verdant Harmony Tree,Ficus Bonsai Handmade Masterpiece,"Elevate your interior with this striking artificial Ficus bonsai tree, crafted to bring lush greenery and organic elegance into modern living spaces. Its beautifully twisted natural wood trunk and full canopy of vibrant green leaves create a serene, lifelike presence that feels both timeless and contemporary.

The elegant white or black planter provides a clean, minimalist base, enhancing the tree's sculptural form. This premium piece is perfect for living rooms, offices, lounges, restaurants, hotels and upscale hospitality environments, adding effortless nature to any design.",published,,,120,120,220,,,,,,,,,,FALSE,,,White,,,FALSE,TRUE,,,,,,,,,3450,,Pot Color,White,,,"{""pot"": ""{\""width\"": 40, \""depth\"": 40, \""height\"": 80, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every Ficus Bonsai tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Ficus Bonsai Tree is in a size range of 200 cm to 240 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens. Perfect for sensitive places and especially well suited for hotels, hospitality spaces and designer homes or offices who want a beautiful green atmosphere all year long without the responsibilities of a living plant.""}"
,verdant-harmony-ficus-bonsai,Verdant Harmony Tree,Ficus Bonsai Handmade Masterpiece,"Elevate your interior with this striking artificial Ficus bonsai tree, crafted to bring lush greenery and organic elegance into modern living spaces. Its beautifully twisted natural wood trunk and full canopy of vibrant green leaves create a serene, lifelike presence that feels both timeless and contemporary.

The elegant white or black planter provides a clean, minimalist base, enhancing the tree's sculptural form. This premium piece is perfect for living rooms, offices, lounges, restaurants, hotels and upscale hospitality environments, adding effortless nature to any design.",published,,,120,120,220,,,,,,,,,,FALSE,,,Black,,,FALSE,TRUE,,,,,,,,,3450,,Pot Color,Black,,,"{""pot"": ""{\""width\"": 40, \""depth\"": 40, \""height\"": 80, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every Ficus Bonsai tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Ficus Bonsai Tree is in a size range of 200 cm to 240 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens. Perfect for sensitive places and especially well suited for hotels, hospitality spaces and designer homes or offices who want a beautiful green atmosphere all year long without the responsibilities of a living plant.""}"
,red-zen-maple-majesty,Red Zen Maple Majesty,Red Velvet - Handmade Masterpiece,"Make a bold statement with this extraordinary artificial handmade maple tree, designed to bring sculptural elegance and modern luxury into any interior. Featuring a beautifully twisted natural wood trunk and vibrant red artificial foliage, it captures the drama of a living centerpiece without requiring any maintenance.

Each tree is individually handcrafted, making every piece a unique one-of-one creation. With a real wood trunk, high-quality artificial leaves for a beautifully natural appearance, and a golden brushed stainless steel 304 flower pot, this bonsai combines authentic materials with lasting sophistication.

The result is a refined designer piece that feels both organic and luxurious — ideal for hotels, villas, living rooms, reception areas, lounges, and exclusive interior spaces.",published,,,125,125,220,,,,,,,,,,FALSE,,,Gold,,,FALSE,TRUE,,,,,,,,,3450,,Pot Color,Gold,,,"{""pot"": ""{\""width\"": 47, \""depth\"": 47, \""height\"": 82.5, \""unit\"": \""cm\"", \""material\"": \""Stainless steel 304\"", \""finish\"": \""Brushed Gold\"", \""care\"": \""To keep the pot shiny, place only indoors. Not recommended for wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every maple tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Brushed stainless steel 304 flower pot.\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium maple tree is in a size range of 200 cm to 240 cm height. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens. Perfect for sensitive places and especially well suited for hotels, hospitality spaces and designer homes or offices who want a beautiful red atmosphere all year long without the responsibilities of a living plant.""}"
,dual-pink-sakura-tree,Dual Pink Sakura Tree,Cherry Blossom Handmade unique,"Bring a soft, romantic touch to your space with this elegant artificial cherry blossom tree pink, designed to capture the delicate beauty of spring all year round. Its full pink blossom canopy and natural wood trunk create a graceful, lifelike look that adds warmth and sophistication to any interior.

The glossy black or white planter gives the piece a modern, luxurious finish, while the sculptural shape of the tree makes it a true statement element for living rooms, bedrooms, lounges, boutiques, and refined hospitality spaces. It delivers lasting beauty without any maintenance, making it ideal for stylish interiors that deserve a calm and polished atmosphere.",published,,,120,120,220,,,,,,,,,,FALSE,,,White,,,FALSE,TRUE,,,,,,,,,2450,,Pot Color,White,,,"{""pot"": ""{\""width\"": 66, \""depth\"": 66, \""height\"": 55, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every Cherry Blossom tree pink is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Cherry Blossom tree pink is in a size range of 200 cm to 240 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,dual-pink-sakura-tree,Dual Pink Sakura Tree,Cherry Blossom Handmade unique,"Bring a soft, romantic touch to your space with this elegant artificial cherry blossom tree pink, designed to capture the delicate beauty of spring all year round. Its full pink blossom canopy and natural wood trunk create a graceful, lifelike look that adds warmth and sophistication to any interior.

The glossy black or white planter gives the piece a modern, luxurious finish, while the sculptural shape of the tree makes it a true statement element for living rooms, bedrooms, lounges, boutiques, and refined hospitality spaces. It delivers lasting beauty without any maintenance, making it ideal for stylish interiors that deserve a calm and polished atmosphere.",published,,,120,120,220,,,,,,,,,,FALSE,,,Black,,,FALSE,TRUE,,,,,,,,,2450,,Pot Color,Black,,,"{""pot"": ""{\""width\"": 66, \""depth\"": 66, \""height\"": 55, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every Cherry Blossom tree pink is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Cherry Blossom tree pink is in a size range of 200 cm to 240 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,white-bloom-majesty,White Bloom Majesty,Snow Blossom Cherry - Handmade unique,"Bring timeless elegance into your interior with this stunning artificial flowering tree, designed to create a refined and natural atmosphere in any luxury space. With its detailed natural wood trunk and full canopy of soft white blossoms, it delivers the beauty of a blooming tree without any seasonal limits or maintenance.

The sleek black or white planter adds a modern contrast, making this piece feel both contemporary and sophisticated. Its tall silhouette and airy floral crown make it an ideal decorative feature for entrance areas, living spaces, hotels, boutiques, and high-end commercial interiors.",published,,,120,120,220,,,,,,,,,,FALSE,,,White,,,FALSE,TRUE,,,,,,,,,2450,,Pot Color,White,,,"{""pot"": ""{\""width\"": 40, \""depth\"": 40, \""height\"": 80, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Cherry Blossom tree white is in a size range of 200 cm to 240 cm height. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,white-bloom-majesty,White Bloom Majesty,Snow Blossom Cherry - Handmade unique,"Bring timeless elegance into your interior with this stunning artificial flowering tree, designed to create a refined and natural atmosphere in any luxury space. With its detailed natural wood trunk and full canopy of soft white blossoms, it delivers the beauty of a blooming tree without any seasonal limits or maintenance.

The sleek black or white planter adds a modern contrast, making this piece feel both contemporary and sophisticated. Its tall silhouette and airy floral crown make it an ideal decorative feature for entrance areas, living spaces, hotels, boutiques, and high-end commercial interiors.",published,,,120,120,220,,,,,,,,,,FALSE,,,Black,,,FALSE,TRUE,,,,,,,,,2450,,Pot Color,Black,,,"{""pot"": ""{\""width\"": 40, \""depth\"": 40, \""height\"": 80, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial tree.\"", \""Every tree is unique and one of a kind (1/1).\"", \""Real wood trunk for authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Black or white glossy luxury pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Cherry Blossom tree white is in a size range of 200 cm to 240 cm height. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting and natural growth of the trunk."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial tree all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,orchid-cascade-grande,Orchid Cascade Grande,Handmade - Orchid Grande Majestic orange,"Infuse your space with vibrant luxury using this breathtaking artificial orchid arrangement, designed to command attention with its bold color and elegant form. Cascading clusters of vivid orchids create a tropical paradise vibe, perfect for elevating high-rise interiors or sophisticated settings.

The tall black planter offers a high luxury contrast and modern polish, making this piece a true showstopper. Ideal for penthouse living rooms, luxury hotels, upscale offices, luxury boutiques, designer homes or elegant restaurants.",published,,,90,90,195,,,,,,,,,,FALSE,,,Black,,,FALSE,TRUE,,,,,,,,,1950,,Pot Color,Black,,,"{""pot"": ""{\""width\"": 72, \""depth\"": 72, \""height\"": 127, \""unit\"": \""cm\"", \""material\"": \""High-quality oversized luxury glossy acrylic\"", \""finish\"": \""Glossy Black\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial flower plant.\"", \""Different colors\"", \""Authentic texture and natural character.\"", \""Highest quality artificial leaves and flowers for a realistic and natural look.\"", \""Shiny black acrylic flower pot.\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Orchid Cascade Grande is in a size range of 190 cm to 200 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial plant all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,paradise-leaf-giant,Paradise Leaf Giant,Handmade - Tropical Strelitzia Majesty,"Transform your office or living space with this vibrant artificial bird of paradise tree, blending tropical allure with sophisticated design. Its large, lush green leaves and striking red ginger flowers create a bold, exotic statement, paired with a natural authentic texture.

The glossy black planter adds a sleek, contemporary edge, making it the ultimate centerpiece for modern interiors. Perfect for executive offices, luxury apartments, hotel lobbies, restaurants, and high-end commercial settings with stunning city views.",published,,,110,110,235,,,,,,,,,,FALSE,,,Black,,,FALSE,TRUE,,,,,,,,,1950,,Pot Color,Black,,,"{""pot"": ""{\""width\"": 80, \""depth\"": 80, \""height\"": 60, \""unit\"": \""cm\"", \""material\"": \""High-quality XL luxury glossy acrylic\"", \""finish\"": \""Glossy Black\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial plant.\"", \""Authentic texture and natural character.\"", \""Highest quality artificial leaves for a realistic and elegant look.\"", \""Shiny black acrylic flower pot.\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Tropical Strelitzia is in a size range of 220 cm to 250 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial plant all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
,flora-prestige-rose-royale,Flora Prestige - Rose Royale,Handmade,"Introduce a touch of romantic elegance with this luxurious artificial flower arrangement, featuring a stunning mix of roses, hydrangeas, orchids and delicate flowers for a full, opulent bouquet. The soft tones and lush blooms create a dreamy, feminine vibe that's both timeless and refined.

The tall white planter adds a clean, architectural base, making it a perfect focal point for contemporary interiors. Ideal for living rooms, bedrooms, events, weddings, entrances, boutiques, salons, and high-end hospitality spaces.",published,,,75,75,120,,,,,,,,,,FALSE,,,White,,,FALSE,TRUE,,,,,,,,,950,,Pot Color,White,,,"{""pot"": ""{\""width\"": 40, \""depth\"": 40, \""height\"": 80, \""unit\"": \""cm\"", \""material\"": \""High-quality luxury glossy acrylic\"", \""finish\"": \""Glossy\"", \""care\"": \""To keep the pot shiny it should be placed only inside and it is not recommended to place in wet areas.\""}"", ""key_features"": ""[\""Handmade artificial plant.\"", \""Different colors\"", \""Authentic texture and natural character.\"", \""Highest quality artificial leaves and flowers for a realistic and elegant look.\"", \""Luxury glossy white or golden white pot\"", \""Maintenance-free: no watering - no sun - no care and Hypoallergenic\""]"", ""packaging_info"": ""The product is delivered in special protective packaging. If the item is supplied in multiple parts, it will need to be assembled by the customer following the included installation instructions."", ""uniqueness_note"": ""This premium Rose Royale is in a size range of 70 cm to 80 cm. Pictures above shows a sample, every product is unique handmade and can slightly be different through handcrafting."", ""care_instructions"": ""Maintenance-free elegance: Enjoy the beauty of this artificial plant all year round, without any ongoing care or seasonal changes - no watering - no sun - no care. Hypoallergenic design: Free from pollen, mold, and seasonal allergens.""}"
